,ds,y
231,1990-11-01,122.119
232,1990-12-01,137.027
234,1991-01-01,143.148
235,1991-02-01,117.505
236,1991-03-01,118.823
237,1991-04-01,111.147
238,1991-05-01,122.745
239,1991-06-01,131.945
240,1991-07-01,144.042
241,1991-08-01,144.107
242,1991-09-01,129.099
243,1991-10-01,124.058
244,1991-11-01,127.928
245,1991-12-01,133.633
247,1992-01-01,137.39
248,1992-02-01,121.125
249,1992-03-01,126.201
250,1992-04-01,118.33
251,1992-05-01,121.946
252,1992-06-01,129.054
253,1992-07-01,148.563
254,1992-08-01,142.166
255,1992-09-01,132.766
256,1992-10-01,126.405
257,1992-11-01,126.014
258,1992-12-01,139.605
260,1993-01-01,139.269
261,1993-02-01,128.056
262,1993-03-01,134.599
263,1993-04-01,119.596
264,1993-05-01,120.469
265,1993-06-01,136.697
266,1993-07-01,157.967
267,1993-08-01,156.392
268,1993-09-01,133.435
269,1993-10-01,130.321
270,1993-11-01,131.799
271,1993-12-01,143.919
273,1994-01-01,153.119
274,1994-02-01,131.25
275,1994-03-01,132.54
276,1994-04-01,120.392
277,1994-05-01,126.496
278,1994-06-01,146.639
279,1994-07-01,153.375
280,1994-08-01,151.757
281,1994-09-01,133.235
282,1994-10-01,129.229
283,1994-11-01,124.074
284,1994-12-01,136.675
286,1995-01-01,143.097
287,1995-02-01,127.774
288,1995-03-01,127.348
289,1995-04-01,118.414
290,1995-05-01,125.516
291,1995-06-01,138.913
292,1995-07-01,159.638
293,1995-08-01,167.717
294,1995-09-01,137.474
295,1995-10-01,132.871
296,1995-11-01,134.591
297,1995-12-01,147.39
299,1996-01-01,153.915
300,1996-02-01,138.446
301,1996-03-01,138.362
302,1996-04-01,124.885
303,1996-05-01,135.014
304,1996-06-01,147.23
305,1996-07-01,160.939
306,1996-08-01,162.998
307,1996-09-01,144.095
308,1996-10-01,143.399
309,1996-11-01,147.318
310,1996-12-01,155.809
312,1997-01-01,162.245
313,1997-02-01,135.873
314,1997-03-01,138.495
315,1997-04-01,130.325
316,1997-05-01,136.525
317,1997-06-01,147.624
318,1997-07-01,169.108
319,1997-08-01,164.925
320,1997-09-01,152.353
321,1997-10-01,152.153
322,1997-11-01,146.425
323,1997-12-01,160.993
325,1998-01-01,159.602
326,1998-02-01,138.682
327,1998-03-01,144.143
328,1998-04-01,133.418
329,1998-05-01,146.249
330,1998-06-01,158.591
331,1998-07-01,174.995
332,1998-08-01,174.745
333,1998-09-01,156.709
334,1998-10-01,147.334
335,1998-11-01,139.397
336,1998-12-01,154.318
338,1999-01-01,161.387
339,1999-02-01,138.081
340,1999-03-01,145.169
341,1999-04-01,137.504
342,1999-05-01,144.891
343,1999-06-01,157.377
344,1999-07-01,179.42
345,1999-08-01,173.707
346,1999-09-01,154.874
347,1999-10-01,147.523
348,1999-11-01,142.095
349,1999-12-01,154.387
351,2000-01-01,172.903
352,2000-02-01,155.75
353,2000-03-01,152.347
354,2000-04-01,137.295
355,2000-05-01,151.232
356,2000-06-01,165.771
357,2000-07-01,172.816
358,2000-08-01,179.476
359,2000-09-01,158.627
360,2000-10-01,156.631
361,2000-11-01,155.015
362,2000-12-01,169.514
364,2001-01-01,171.379
365,2001-02-01,146.187
366,2001-03-01,151.068
367,2001-04-01,136.46
368,2001-05-01,148.784
369,2001-06-01,159.457
370,2001-07-01,176.898
371,2001-08-01,180.673
372,2001-09-01,153.202
373,2001-10-01,146.64
374,2001-11-01,142.367
375,2001-12-01,156.713
377,2002-01-01,159.356
378,2002-02-01,139.482
379,2002-03-01,146.594
380,2002-04-01,138.353
381,2002-05-01,147.956
382,2002-06-01,161.561
383,2002-07-01,179.351
384,2002-08-01,177.391
385,2002-09-01,162.681
386,2002-10-01,156.051
387,2002-11-01,153.318
388,2002-12-01,167.785
390,2003-01-01,175.518
391,2003-02-01,152.63
392,2003-03-01,150.919
393,2003-04-01,138.322
394,2003-05-01,147.491
395,2003-06-01,160.056
396,2003-07-01,178.656
397,2003-08-01,181.673
398,2003-09-01,161.942
399,2003-10-01,155.337
400,2003-11-01,156.001
401,2003-12-01,172.427
403,2004-01-01,175.35
404,2004-02-01,157.548
405,2004-03-01,149.42
406,2004-04-01,138.155
407,2004-05-01,153.824
408,2004-06-01,164.022
409,2004-07-01,178.541
410,2004-08-01,175.913
411,2004-09-01,163.182
412,2004-10-01,155.596
413,2004-11-01,156.598
414,2004-12-01,174.92
416,2005-01-01,175.514
417,2005-02-01,153.555
418,2005-03-01,159.857
419,2005-04-01,140.548
420,2005-05-01,151.645
421,2005-06-01,171.133
422,2005-07-01,184.087
423,2005-08-01,186.022
424,2005-09-01,169.222
425,2005-10-01,160.682
426,2005-11-01,155.899
427,2005-12-01,175.664
429,2006-01-01,166.165
430,2006-02-01,154.226
431,2006-03-01,156.997
432,2006-04-01,138.082
433,2006-05-01,153.221
434,2006-06-01,166.169
435,2006-07-01,184.807
436,2006-08-01,186.844
437,2006-09-01,160.475
438,2006-10-01,159.328
439,2006-11-01,156.604
440,2006-12-01,170.779
442,2007-01-01,174.337
443,2007-02-01,159.772
444,2007-03-01,155.545
445,2007-04-01,144.038
446,2007-05-01,154.284
447,2007-06-01,170.559
448,2007-07-01,183.582
449,2007-08-01,188.407
450,2007-09-01,167.18
451,2007-10-01,159.36
452,2007-11-01,156.666
453,2007-12-01,173.557
455,2008-01-01,177.865
456,2008-02-01,163.114
457,2008-03-01,156.693
458,2008-04-01,144.524
459,2008-05-01,152.626
460,2008-06-01,168.239
461,2008-07-01,184.592
462,2008-08-01,179.993
463,2008-09-01,160.76
464,2008-10-01,150.605
465,2008-11-01,152.302
466,2008-12-01,168.073
468,2009-01-01,169.01
469,2009-02-01,138.457
470,2009-03-01,134.157
471,2009-04-01,125.161
472,2009-05-01,131.317
473,2009-06-01,147.22
474,2009-07-01,157.083
475,2009-08-01,161.543
476,2009-09-01,137.175
477,2009-10-01,138.952
478,2009-11-01,136.236
479,2009-12-01,164.564
481,2010-01-01,169.541
482,2010-02-01,149.732
483,2010-03-01,142.659
484,2010-04-01,125.288
485,2010-05-01,141.697
486,2010-06-01,163.128
487,2010-07-01,177.165
488,2010-08-01,176.655
489,2010-09-01,148.406
490,2010-10-01,132.129
491,2010-11-01,135.919
492,2010-12-01,165.3
494,2011-01-01,166.309
495,2011-02-01,135.738
496,2011-03-01,133.862
497,2011-04-01,123.65
498,2011-05-01,135.488
499,2011-06-01,155.016
500,2011-07-01,173.728
501,2011-08-01,169.987
502,2011-09-01,141.456
503,2011-10-01,128.32
504,2011-11-01,123.628
505,2011-12-01,135.527
507,2012-01-01,129.542
508,2012-02-01,115.247
509,2012-03-01,105.084
510,2012-04-01,94.674
511,2012-05-01,114.96
512,2012-06-01,131.167
513,2012-07-01,158.331
514,2012-08-01,151.36
515,2012-09-01,127.184
516,2012-10-01,121.741
517,2012-11-01,127.974
518,2012-12-01,133.974
520,2013-01-01,137.055
521,2013-02-01,122.562
522,2013-03-01,128.606
523,2013-04-01,110.959
524,2013-05-01,118.029
525,2013-06-01,137.026
526,2013-07-01,151.952
527,2013-08-01,149.701
528,2013-09-01,132.785
529,2013-10-01,121.075
530,2013-11-01,120.445
531,2013-12-01,141.155
533,2014-01-01,153.85
534,2014-02-01,140.102
535,2014-03-01,132.664
536,2014-04-01,106.751
537,2014-05-01,117.672
538,2014-06-01,136.577
539,2014-07-01,149.776
540,2014-08-01,148.995
541,2014-09-01,126.983
542,2014-10-01,112.3
543,2014-11-01,118.837
544,2014-12-01,124.629
546,2015-01-01,130.232
547,2015-02-01,122.417
548,2015-03-01,106.412
549,2015-04-01,88.646
550,2015-05-01,104.498
551,2015-06-01,126.28
552,2015-07-01,140.283
553,2015-08-01,135.156
554,2015-09-01,118.653
555,2015-10-01,98.469
556,2015-11-01,90.263
557,2015-12-01,91.658
559,2016-01-01,113.495
560,2016-02-01,92.416
561,2016-03-01,72.84
562,2016-04-01,71.41
563,2016-05-01,82.51
564,2016-06-01,115.772
565,2016-07-01,135.958
